"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameTitleComparatorLevenshtein record1Value","[0] GameTitleComparatorLevenshtein record2Value","[0] GameTitleComparatorLevenshtein record1PreprocessedValue","[0] GameTitleComparatorLevenshtein record2PreprocessedValue","[0] GameTitleComparatorLevenshtein similarity","[0] GameTitleComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","Games_Updated_ID_7537","vgsales_ID_2882","0.3666666666666667",,"Powerpuff Girls: Bad Mojo Jojo","Power Rangers: Dino Thunder","Powerpuff Girls: Bad Mojo Jojo","Power Rangers: Dino Thunder","0.3666666666666667","0.3666666666666667"
"LinearCombinationMatchingRule","Games_Updated_ID_4753","vgsales_ID_5267","0.19354838709677424",,"Transformers Animated: The Game","Trauma Center: Second Opinion","Transformers Animated: The Game","Trauma Center: Second Opinion","0.19354838709677424","0.19354838709677424"
"LinearCombinationMatchingRule","Games_Updated_ID_2904","vgsales_ID_7540","0.25806451612903225",,"The Gunstringer","The Ultimate Red Ball Challenge","The Gunstringer","The Ultimate Red Ball Challenge","0.25806451612903225","0.25806451612903225"
"LinearCombinationMatchingRule","Games_Updated_ID_14720","vgsales_ID_12315","0.19999999999999996",,"RayStorm","Rayman: Hoodlum's Revenge","RayStorm","Rayman: Hoodlum's Revenge","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","Games_Updated_ID_14606","vgsales_ID_2976","0.25",,"Starcraft","Star Wars: Masters of Teras Kasi","Starcraft","Star Wars: Masters of Teras Kasi","0.25","0.25"
"LinearCombinationMatchingRule","Games_Updated_ID_13786","vgsales_ID_12520","0.2727272727272727",,"Blaze & Blade - Eternal Quest","BlazBlue: Chrono Phantasma Extend","Blaze & Blade - Eternal Quest","BlazBlue: Chrono Phantasma Extend","0.2727272727272727","0.2727272727272727"
"LinearCombinationMatchingRule","Games_Updated_ID_2449","vgsales_ID_6973","0.4",,"Lego Batman 2: DC Super Heroes","LEGO Marvel's Avengers","Lego Batman 2: DC Super Heroes","LEGO Marvel's Avengers","0.4","0.4"
"LinearCombinationMatchingRule","Games_Updated_ID_4976","vgsales_ID_14852","0.46875",,"Monster Madness: Grave Danger","Monster Mayhem: Build and Battle","Monster Madness: Grave Danger","Monster Mayhem: Build and Battle","0.46875","0.46875"
"LinearCombinationMatchingRule","Games_Updated_ID_302","vgsales_ID_6997","0.1470588235294118",,"The World Next Door  - Anime Angst","The Club","The World Next Door  - Anime Angst","The Club","0.1470588235294118","0.1470588235294118"
"LinearCombinationMatchingRule","Games_Updated_ID_7627","vgsales_ID_14644","0.25",,"Triple Play Baseball","Trine 2","Triple Play Baseball","Trine 2","0.25","0.25"
"LinearCombinationMatchingRule","Games_Updated_ID_12946","vgsales_ID_7469","0.23809523809523814",,"NHL Championship 2000","NHL 2K3","NHL Championship 2000","NHL 2K3","0.23809523809523814","0.23809523809523814"
"LinearCombinationMatchingRule","Games_Updated_ID_3371","vgsales_ID_15866","0.7837837837837838",,"PDC World Championship Darts Pro Tour","PDC World Championship Darts 2008","PDC World Championship Darts Pro Tour","PDC World Championship Darts 2008","0.7837837837837838","0.7837837837837838"
"LinearCombinationMatchingRule","Games_Updated_ID_12864","vgsales_ID_13124","0.19999999999999996",,"Steel Harbinger","Steins;Gate 0","Steel Harbinger","Steins;Gate 0","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","Games_Updated_ID_3196","vgsales_ID_9420","0.21621621621621623",,"Tom Clancy's Ghost Recon: Shadow Wars","Tomb Raider: Legend","Tom Clancy's Ghost Recon: Shadow Wars","Tomb Raider: Legend","0.21621621621621623","0.21621621621621623"
"LinearCombinationMatchingRule","Games_Updated_ID_9257","vgsales_ID_12369","0.22580645161290325",,"The Bard's Tale","The Amazing Spider-Man 2 (2014)","The Bard's Tale","The Amazing Spider-Man 2 (2014)","0.22580645161290325","0.22580645161290325"
"LinearCombinationMatchingRule","Games_Updated_ID_6574","vgsales_ID_14985","0.17525773195876293",,"History Channel: Civil War","Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 1: Shinseiki Evangelion - Magokoro o, Kimi ni","History Channel: Civil War","Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 1: Shinseiki Evangelion - Magokoro o, Kimi ni","0.17525773195876293","0.17525773195876293"
"LinearCombinationMatchingRule","Games_Updated_ID_1169","vgsales_ID_3209","0.19354838709677424",,"Cabal 2","Cabela's Big Game Hunter (2008)","Cabal 2","Cabela's Big Game Hunter (2008)","0.19354838709677424","0.19354838709677424"
"LinearCombinationMatchingRule","Games_Updated_ID_2476","vgsales_ID_8911","0.4",,"Battleship","Battle Stadium D.O.N","Battleship","Battle Stadium D.O.N","0.4","0.4"
"LinearCombinationMatchingRule","Games_Updated_ID_8996","vgsales_ID_1489","0.25",,"The Warriors","The LEGO Movie Videogame","The Warriors","The LEGO Movie Videogame","0.25","0.25"
"LinearCombinationMatchingRule","Games_Updated_ID_10142","vgsales_ID_6273","0.21153846153846156",,"The Day After Tomorrow","The Legend of Zelda: The Minish Cap(weekly JP sales)","The Day After Tomorrow","The Legend of Zelda: The Minish Cap(weekly JP sales)","0.21153846153846156","0.21153846153846156"
"LinearCombinationMatchingRule","Games_Updated_ID_720","vgsales_ID_2580","0.30000000000000004",,"The Town Of Light","The Sims 2: Castaway","The Town Of Light","The Sims 2: Castaway","0.30000000000000004","0.30000000000000004"
