Games_Updated_ID,Console,Game_Name,Review,Score
Games_Updated_ID_84,PC,Superhot: Mind Control Delete  - Hack 'N Slash,Good,7
Games_Updated_ID_85,PC,Death Stranding,Superb,9
Games_Updated_ID_86,PC,CrossCode  - A Lot Of Ambition,Fair,6
Games_Updated_ID_87,PC,Deadly Premonition 2: A Blessing In Disguise,Mediocre,5
Games_Updated_ID_88,PC,Marvel's Iron Man VR  - Hot Hands,Fair,6
Games_Updated_ID_89,PC,Ninjala  - Gum Up The Works,Fair,6
Games_Updated_ID_90,PC,Mr. Driller Drill Land,Great,8
Games_Updated_ID_91,PC,West Of Dead  - Rogue-lite Cowboy,Mediocre,5
Games_Updated_ID_92,PC,Pokemon Sword And Shield Isle Of Armor DLC,Great,8
Games_Updated_ID_93,PC,Slay The Spire  - Trend Setter,Superb,9
Games_Updated_ID_94,PC,Death Come True  - Hotel Hell,Fair,6
Games_Updated_ID_95,PC,Crucible,Mediocre,5
Games_Updated_ID_96,PC,The Last Of Us Part 2 Spoiler  - Dog Eat Dog,Great,8
Games_Updated_ID_97,PC,The Last Of Us Part 2 Spoiler-Free,Great,8
Games_Updated_ID_98,PC,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated  - Expired Nostalgia,Terrible,2
Games_Updated_ID_99,PC,Valorant  - A Valiant Effort,Good,7
Games_Updated_ID_100,PC,Skelattack  - Bone-Dry,Mediocre,5
Games_Updated_ID_101,PC,Project Warlock  - Wizard's First Doom,Fair,6
Games_Updated_ID_102,PC,Disintegration  - First-Person Strategy,Good,7
Games_Updated_ID_103,PC,XCOM 2 Collection For Nintendo Switch  - Close Encounters of the Bugged Kind,Fair,6
Games_Updated_ID_104,PC,The Outer Worlds For Nintendo Switch  - Cosmic Haze,Fair,6
Games_Updated_ID_105,PC,Liberated,Poor,4
Games_Updated_ID_106,PC,Resolutiion  - Do The Right Thing,Fair,6
Games_Updated_ID_107,PC,Those Who Remain  - Little Staying Power,Bad,3
Games_Updated_ID_108,PC,Sea Of Thieves  (2020) - A Voyage Finally Worth Taking,Great,8
Games_Updated_ID_109,PC,Xenoblade Chronicles: Definitive Edition,Superb,9
Games_Updated_ID_110,PC,"Minecraft Dungeons  - Mobsters, Inc.",Good,7
Games_Updated_ID_111,PC,"Maneater  - Fish Are Food, Not Friends",Good,7
Games_Updated_ID_112,PC,Mortal Kombat 11: Aftermath  - Friendship Never Ends,Good,7
Games_Updated_ID_113,PC,If Found  - Call Me By My Name,Superb,9
Games_Updated_ID_114,PC,What The Golf Switch  - A Swing And A Hit,Superb,9
Games_Updated_ID_115,PC,What The Golf,Great,8
Games_Updated_ID_116,PC,The Wonderful 101 Remastered  - Mob Mentality,Poor,4
Games_Updated_ID_117,PC,The Wonderful 101,Great,8
Games_Updated_ID_118,PC,Hatsune Miku: Project DIVA MegaMix  - One More Time,Great,8
Games_Updated_ID_119,PC,Rainbow Six Siege  (2020) - Breaches And Cream,Essential,1
Games_Updated_ID_120,PC,Legends Of Runeterra  - Much Ado About Nautilus,Superb,9
Games_Updated_ID_121,PC,Predator: Hunting Grounds  - Muddied Up,Poor,4
Games_Updated_ID_122,PC,Sakura Wars,Good,7
Games_Updated_ID_123,PC,XCOM: Chimera Squad,Great,8
Games_Updated_ID_124,PC,Cloudpunk  - Time To Fly,Good,7
Games_Updated_ID_125,PC,Streets Of Rage 4  - The Beat-'Em-Up Boys Are Back In Town,Great,8
Games_Updated_ID_126,PC,Rainbow Six Siege  (2015),Great,8
Games_Updated_ID_127,PC,"Gears Tactics  - Plan The Work, Work The Plan",Great,8
Games_Updated_ID_128,PC,Fallout 76: Wastelanders  - A Disappointing Return,Mediocre,5
Games_Updated_ID_129,PC,Trials Of Mana  - Trial And Error,Fair,6
Games_Updated_ID_130,PC,Treachery In Beatdown City,Great,8
Games_Updated_ID_131,PC,In Other Waters,Superb,9
Games_Updated_ID_132,PC,Bleeding Edge  - Underwatch,Fair,6
Games_Updated_ID_133,PC,Final Fantasy 7 Remake  - First Class,Essential,1
Games_Updated_ID_134,PC,Animal Crossing: New Horizons  - Island Getaway,Superb,9
Games_Updated_ID_135,PC,Persona 5 Royal  - Hearts Of Gold,Essential,1
Games_Updated_ID_136,PC,"Resident Evil 3 Remake  - Farewell, Raccoon City",Fair,6
Games_Updated_ID_137,PC,Good Job  - Office Space,Good,7
Games_Updated_ID_138,PC,Corruption 2029,Fair,6
Games_Updated_ID_139,PC,MLB The Show 20,Great,8
Games_Updated_ID_140,PC,Call Of Duty Warzone,Good,7
Games_Updated_ID_141,PC,Half-Life: Alyx  - Catch These Hands,Superb,9
Games_Updated_ID_142,PC,Doom Eternal  - Intelligent Inferno,Great,8
Games_Updated_ID_143,PC,Nioh 2,Great,8
Games_Updated_ID_144,PC,Ori And The Will Of The Wisps,Great,8
Games_Updated_ID_145,PC,Mindseize  - Familiar Territory,Fair,6
Games_Updated_ID_146,PC,Dota Underlords,Superb,9
Games_Updated_ID_147,PC,Pokemon Mystery Dungeon: Rescue Team DX,Great,8
Games_Updated_ID_148,PC,Wolcen: Lords Of Mayhem,Poor,4
Games_Updated_ID_149,PC,Bloodroots,Great,8
Games_Updated_ID_150,PC,Snack World,Poor,4
Games_Updated_ID_151,PC,Dreams,Superb,9
Games_Updated_ID_152,PC,Granblue Fantasy Versus  - Fighting Fantasy,Good,7
Games_Updated_ID_153,PC,The Pedestrian  - Walk Before You Run,Good,7
Games_Updated_ID_154,PC,Through The Darkest Of Times  - Enemy Inside The Gates,Great,8
Games_Updated_ID_155,PC,Kunai  - Throwing Knives,Good,7
Games_Updated_ID_156,PC,Kentucky Route Zero  - Where The Streets Have No Name,Superb,9
Games_Updated_ID_157,PC,Kingdom Hearts 3 Re:Mind  - Don't Remind Me,Poor,4
Games_Updated_ID_158,PC,Lenna's Inception  - Press Start,Good,7
Games_Updated_ID_159,PC,Journey To The Savage Planet  - A Pulpy Sci-Fi Romp,Good,7
Games_Updated_ID_160,PC,Frostpunk: The Last Autumn  - Calm Before The Storm,Great,8
Games_Updated_ID_161,PC,Dragon Ball Z: Kakarot  - Mondo Cool,Good,7
Games_Updated_ID_162,PC,Unity Of Command 2  - Lifetime Supply,Great,8
Games_Updated_ID_163,PC,Overland  - Road Trip From Hell,Great,8
Games_Updated_ID_164,PC,Ace Combat 7: Skies Unknown  - Head In The Clouds,Great,8
Games_Updated_ID_165,PC,The Outer Worlds  - Over The Moon,Superb,9
Games_Updated_ID_166,PC,Draugen  - Mystery Loves Company,Good,7
Games_Updated_ID_167,PC,Wattam  - Forever Wondering,Good,7
Games_Updated_ID_168,PC,Supermash  - Flop Jam,Bad,3
Games_Updated_ID_169,PC,The Touryst  - Life's A Beach,Great,8
Games_Updated_ID_170,PC,Phoenix Point  - The Life Aquatic,Great,8
Games_Updated_ID_171,PC,Darksiders: Genesis  - Lucy And The Horsemen,Good,7
Games_Updated_ID_172,PC,Shovel Knight: King Of Cards  - Royal Refinement,Great,8
Games_Updated_ID_173,PC,Life Is Strange 2: Episode 5  - Beyond Good Or Evil,Great,8
Games_Updated_ID_174,PC,Audica  - Electronic Gun Music,Fair,6
Games_Updated_ID_175,PC,Shenmue 3  - From A Forgotten Time,Mediocre,5
Games_Updated_ID_176,PC,Blacksad: Under The Skin  - Dog Days,Mediocre,5
Games_Updated_ID_177,PC,Planet Zoo  - Spreadsheet Safari,Good,7
Games_Updated_ID_178,PC,Sparklite  - Shine A Light,Fair,6
Games_Updated_ID_179,PC,Star Wars Jedi: Fallen Order  - A Good Feeling About This,Great,8
Games_Updated_ID_180,PC,Pokemon Sword & Shield  - Curry Favor,Superb,9
Games_Updated_ID_181,PC,Layton's Mystery Journey: Katrielle And The Millionaire's Conspiracy  - Merry Old England,Good,7
Games_Updated_ID_182,PC,Need For Speed Heat  - Getting Warmer,Good,7
Games_Updated_ID_183,PC,Mario & Sonic At The Olympic Games Tokyo 2020  - Gotta Go Fast,Good,7
Games_Updated_ID_184,PC,Call Of Duty: Modern Warfare  - Stay Frosty (Again),Good,7
Games_Updated_ID_185,PC,Red Dead Redemption 2  - Wild Wild West,Superb,9
Games_Updated_ID_186,PC,Call Of Duty Mobile  - Boots On The Go,Great,8
Games_Updated_ID_187,PC,Disco Elysium  - Pure Dynamite,Essential,1
Games_Updated_ID_188,PC,"Afterparty  - Drink, Die, Repeat",Good,7
Games_Updated_ID_189,PC,Luigi's Mansion 3  - Mario Is Missing,Great,8
Games_Updated_ID_190,PC,WWE 2K20 : Botchamania,Terrible,2
Games_Updated_ID_191,PC,"Super Monkey Ball Banana Blitz HD  - All Monkey, No Magic",Mediocre,5
Games_Updated_ID_192,PC,Manifold Garden  - Stairways To Puzzle Heaven,Superb,9
Games_Updated_ID_193,PC,MediEvil  - Bones 'n Brawn,Mediocre,5
Games_Updated_ID_194,PC,Felix The Reaper  - Footloose,Mediocre,5
Games_Updated_ID_195,PC,Little Town Hero  - Brat Country,Mediocre,5
Games_Updated_ID_196,PC,The Witcher 3 Nintendo Switch  - The Last Wish,Superb,9
Games_Updated_ID_197,PC,Killer Queen Black  - 'Cause I'm Having a Good Time,Great,8
Games_Updated_ID_198,PC,Ghost Recon Breakpoint  - Faulty Reconaissance,Poor,4
Games_Updated_ID_199,PC,John Wick Hex  - Tick Tock Wick,Great,8
Games_Updated_ID_200,PC,Concrete Genie  - Rubs Me The Right Way,Good,7
Games_Updated_ID_201,PC,Indivisible  - Moving Mountains,Good,7
Games_Updated_ID_202,PC,Neo Cab  - Taxi Cab Confessions,Good,7
Games_Updated_ID_203,PC,Destiny 2 Shadowkeep  - Moon's Haunted,Great,8
Games_Updated_ID_204,PC,Yooka-Laylee And The Impossible Lair  - Uninvited Nostalgia,Fair,6
Games_Updated_ID_205,PC,Sayonara Wild Hearts  - Falling Star,Fair,6
Games_Updated_ID_206,PC,Code Vein  - There Will Be Blood,Fair,6
Games_Updated_ID_207,PC,Untitled Goose Game  - Saved By The Bell,Great,8
Games_Updated_ID_208,PC,The Surge 2  - Out On A Limb,Great,8
Games_Updated_ID_209,PC,80 Days  - A Man And His Fogg,Great,8
Games_Updated_ID_210,PC,FIFA 20  - Premier League,Great,8
Games_Updated_ID_211,PC,Dragon Quest XI  - Nintendo Switch Definitive Edition Update,Superb,9
Games_Updated_ID_212,PC,Blasphemous  - Darker Souls,Good,7
Games_Updated_ID_213,PC,Greedfall  - Lost In Another World,Mediocre,5
Games_Updated_ID_214,PC,NHL 20  - Smashed,Superb,9
Games_Updated_ID_215,PC,The Legend Of Zelda: Link’s Awakening  - A Respectable Remake,Great,8
Games_Updated_ID_216,PC,No Man's Sky Beyond  - Reach For The Stars,Superb,9
Games_Updated_ID_217,PC,Children of Morta,Great,8
Games_Updated_ID_218,PC,AI: The Somnium Files  - Eyes Love You,Great,8
Games_Updated_ID_219,PC,"Borderlands 3  - Six Sirens, One God-Queen",Great,8
Games_Updated_ID_220,PC,eFootball PES 2020  - A Winning Formula,Superb,9
Games_Updated_ID_221,PC,Daemon X Machina  - Tinker Toys,Good,7
Games_Updated_ID_222,PC,Gears 5  - A Beneficial Mutation,Good,7
Games_Updated_ID_223,PC,Divinity: Original Sin 2  - Switch Definitive Edition Update,Essential,1
Games_Updated_ID_224,PC,Creature In The Well  - Well-Placed Shot,Great,8
Games_Updated_ID_225,PC,Monster Hunter World: Iceborne  - A Very Ice Time,Superb,9
Games_Updated_ID_226,PC,Knights And Bikes  - Double Trouble,Great,8
Games_Updated_ID_227,PC,Erica  - Movie Night,Great,8
Games_Updated_ID_228,PC,Apex Legends  -- A New Battle Royale Titan,Superb,9
Games_Updated_ID_229,PC,The Dark Pictures: Man of Medan  - Drown And Out,Fair,6
Games_Updated_ID_230,PC,Blair Witch (Game)  - Prying Eyes,Mediocre,5
Games_Updated_ID_231,PC,Catherine: Full Body  - One Step Closer To The Edge,Great,8
Games_Updated_ID_232,PC,Astral Chain  - Anime Police Academy,Great,8
Games_Updated_ID_233,PC,Telling Lies  - Watch Carefully,Good,7
Games_Updated_ID_234,PC,Ancestors: The Humankind Odyssey  - Devolution Of The Species,Poor,4
Games_Updated_ID_235,PC,Control  - An Action-Packed Paranormal Portal,Great,8
Games_Updated_ID_236,PC,Life Is Strange 2: Episode 4  - Gotta Have Faith,Good,7
Games_Updated_ID_237,PC,Remnant: From the Ashes  - In My Sights,Good,7
Games_Updated_ID_238,PC,Wolfenstein: Youngblood  - Family Matters,Great,8
Games_Updated_ID_239,PC,Kill La Kill The Game: IF  - Don't Lose Your Way,Good,7
Games_Updated_ID_240,PC,Etherborn,Fair,6
Games_Updated_ID_241,PC,Warframe  (2019) - Space Oddity,Great,8
Games_Updated_ID_242,PC,Marvel Ultimate Alliance 3: The Black Order  - Superpowered,Great,8
Games_Updated_ID_243,PC,Night Call  - The Full Fare,Great,8
Games_Updated_ID_244,PC,Final Fantasy XIV: Shadowbringers  - Dancer In The Dark,Superb,9
Games_Updated_ID_245,PC,Dragon Quest Builders 2  - Building On A Strong Foundation,Great,8
Games_Updated_ID_246,PC,SolSeraph  - Play God,Fair,6
Games_Updated_ID_247,PC,198X,Mediocre,5
Games_Updated_ID_248,PC,Weedcraft Inc  - I Got 5 On It,Mediocre,5
Games_Updated_ID_249,PC,They Are Billions  - Everyone's Invited,Great,8
Games_Updated_ID_250,PC,Sea Of Solitude  - Adrift,Good,7
Games_Updated_ID_251,PC,Super Mario Maker 2  - Make My Day,Great,8
Games_Updated_ID_252,PC,Bloodstained: Ritual Of The Night Nintendo Switch  - Less Lively,Fair,6
Games_Updated_ID_253,PC,Bloodstained: Ritual Of The Night  - Not Dead Yet,Great,8
Games_Updated_ID_254,PC,Samurai Shodown  - Life Or Death,Great,8
Games_Updated_ID_255,PC,F1 2019  - Pole Position,Superb,9
Games_Updated_ID_256,PC,Judgment  - Like A Tiger,Good,7
Games_Updated_ID_257,PC,The Sinking City  - Draining,Bad,3
